Ability_ID,Ability Name,Short_Description,Tiny_Description,Long_Description,Tags,Visibility_ID,Default_Active
VICTRIX_HONOUR_GUARD_HONOUR_GUARD_OF_MACRAGGE,Honour Guard of Macragge,Enemy attacks: -1 TO WOUND,Incoming Wound -1,Attacks that target this unit have -1 to wound rolls.,"SHOOT, MELEE",2,1
VICTRIX_HONOUR_GUARD_BANNER_OF_MACRAGGE,Banner of Macragge,"CONTROL objective → SECURED
1/BATTLE when selected to FIGHT: melee +1 A / +1 S [+1 A] [+1 S]",Secure Obj; melee A/S +1,"At the end of your Movement phase, if this unit is controlling an objective, that objective is secured.

(Once per battle, per army) When this unit is selected to fight, you can use this ability. If you do, this unit’s melee attacks have +1 A and S.",[ACTIVE] [MELEE] [WEAPONS] [+1 A] [+1 S],2,0
VICTRIX_HONOUR_GUARD_UNIT_COMPOSITION,Unit Composition,"0-1 Chapter Ancient
0-1 Chapter Champion
1-6 Victrix Honour Guard",,"0-1 Chapter Ancient model
0-1 Chapter Champion model
1-6 Victrix Honour Guard models

The Chapter Ancient is equipped with: Banner of Macragge; 1 Master-crafted Bolt Carbine; 1 Master-crafted Power Weapon.

The Chapter Champion is equipped with: 1 Blades of Honour.

Every Victrix Honour Guard is equipped with: 1 Master-crafted Bolt Carbine; 1 Master-crafted Power Weapon.

Keywords — All Models: INFANTRY; IMPERIUM; TACTICUS. Chapter Ancient: ANCIENT; EPIC HERO. Chapter Champion: CHAMPION; EPIC HERO. Faction Keywords: ADEPTUS ASTARTES; ULTRAMARINES.",,3,0
KAIUS_KONORIUS_SUPPORT,Support,Support,,,,1,1
KAIUS_KONORIUS_VETERAN_BODYGUARD,Veteran Bodyguard,ATTACHED: Other CHARACTER models gain FNP 4+,Attached Chars: FNP 4+,"While this model is attached to a unit, other CHARACTER models in this unit have FNP 4+.","SHOOT, MELEE",2,1
KAIUS_KONORIUS_CALGARS_CHAMPION,Calgar’s Champion,Vs CHARACTER: RE-ROLL HIT 1S / WOUND 1S [RE-ROLL 1S TO HIT] [RE-ROLL 1S TO WOUND] [RE-ROLL 1S TO HIT] [RE-ROLL 1S TO WOUND],Vs Char: reroll Hit/W 1s,"This model’s attacks that target a CHARACTER unit can:
• Re-roll hit rolls of 1.
• Re-roll wound rolls of 1.",[ACTIVE] [SHOOT] [MELEE] [WEAPONS] [RE-ROLL 1S TO HIT] [RE-ROLL 1S TO WOUND],2,0
KAIUS_KONORIUS_UNIT_COMPOSITION,Unit Composition,"1 Kaius Konorius model
Equipped: Heavy Bolt Pistol; Severance and Rebuke",,"1 Kaius Konorius model.

This model is equipped with: 1 Heavy Bolt Pistol; 1 Severance and Rebuke.",,3,0
RAMPART,"Rampart (Once per battle, per army)","START OF ANY PHASE: once per battle, this model has 2++ until end of phase.",Once: Invul 2+,"At the start of any phase, you can use this ability. If you do, this model has 2+ Invul until the end of the phase.","SHOOT, MELEE",2,
ICON_OF_OBSTINACY,Icon of Obstinacy,Attacks that target this unit have -1 to Hit rolls. [ENEMY -1 TO HIT],Incoming Hit -1,Attacks that target this unit have -1 to hit rolls.,"SHOOT, MELEE, [ENEMY -1 TO HIT]",2,
DARNATH_LYSANDER_UNIT_COMPOSITION,Unit Composition,"1 Darnath Lysander model
Equipped: 1 Fist of Dorn",,"1 Darnath Lysander model
This model is equipped with: 1 Fist of Dorn.",,3,0
TOR_GARADON_SIEGE_CAPTAIN,Siege Captain,Vs FORTIFICATION / MONSTER / VEHICLE: +2 S / AP / D.,Vs F/M/V - S/AP/D +2,"This model’s attacks that target a FORTIFICATION/MONSTER/VEHICLE unit have +2 S, AP and D.","SHOOT, MELEE",2,
TOR_GARADON_SIGNUM_ARRAY,Signum Array,"SHOOTING: visible enemy within 18"" cannot have the Benefit of Cover.",Enemy within 18” - no Cover,"In your Shooting phase, you can select one visible enemy unit within 18"" of this unit. That enemy unit cannot have the benefit of cover.",SHOOT,2,
TOR_GARADON_UNIT_COMPOSITION,Unit Composition,"1 Tor Garadon model
Equipped: 1 Artificer Grav-gun; 1 Hand of Defiance",,"1 Tor Garadon model
This model is equipped with: 1 Artificer Grav-gun; 1 Hand of Defiance.",,3,0
AETHON_SHAAN_UNIT_COMPOSITION,Unit Composition,"1 Aethon Shaan model
Equipped: 1 Claws of Severax; 1 Heavy Bolt Pistol",,"1 Aethon Shaan model.

This model is equipped with: 1 Claws of Severax; 1 Heavy Bolt Pistol.",,3,0
KAYVAAN_SHRIKE_UNIT_COMPOSITION,Unit Composition,"1 Kayvaan Shrike model
Equipped: 1 Blackout; 1 Raven’s Talons",,"1 Kayvaan Shrike model.

This model is equipped with: 1 Blackout; 1 Raven’s Talons.",,3,0
VULKAN_HESTAN_UNIT_COMPOSITION,Unit Composition,"1 Vulkan He’stan model
Equipped: 1 Bolt Pistol; 1 Gauntlet of the Forge; 1 Spear of Vulkan",,"1 Vulkan He’stan model.

This model is equipped with: 1 Bolt Pistol; 1 Gauntlet of the Forge; 1 Spear of Vulkan.",,3,0
ADRAX_AGATONE_UNIT_COMPOSITION,Unit Composition,"1 Adrax Agatone model
Equipped: 1 Drakkis; 1 Malleus Noctum",,"1 Adrax Agatone model.

This model is equipped with: 1 Drakkis; 1 Malleus Noctum.",,3,0
CAANOK_VAR_UNIT_COMPOSITION,Unit Composition,"1 Caanok Var model
Equipped: 1 Axiom; 1 Storm Bolter",,"1 Caanok Var model.

This model is equipped with: 1 Axiom; 1 Storm Bolter.",,3,0
IRON_FATHER_FEIRROS_UNIT_COMPOSITION,Unit Composition,"1 Iron Father Feirros model
Equipped: 1 Bolt Pistol; 1 Gorgon’s Wrath; 1 Harrowhand; 1 Medusan Manipuli",,"1 Iron Father Feirros model.

This model is equipped with: 1 Bolt Pistol; 1 Gorgon’s Wrath; 1 Harrowhand; 1 Medusan Manipuli.",,3,0
KORSARRO_KHAN_TROPHY_TAKER,Trophy Taker,vs CHARACTER: RE-ROLL HIT 1S / WOUND 1S,Vs Char: reroll Hit/W 1s,"This unit’s attacks that target a CHARACTER unit can:
• Re-roll hit rolls of 1.
• Re-roll wound rolls of 1.","SHOOT, MELEE",2,1
KORSARRO_KHAN_FOR_THE_KHAN,For the Khan!,"RANGED: ASSAULT
MELEE: LANCE",Ranged Assault; melee Lance,"• This unit’s ranged attacks have [ASSAULT].
• This unit’s melee attacks have [LANCE].","SHOOT, MELEE",2,1
KORSARRO_KHAN_UNIT_COMPOSITION,Unit Composition,"1 Kor’sarro Khan model
Equipped: 1 Anzuq; 1 Bolt Pistol; 1 Moonfang",,"1 Kor’sarro Khan model.

This model is equipped with: 1 Anzuq; 1 Bolt Pistol; 1 Moonfang.",,3,0
SUBODEN_KHAN_UNIT_COMPOSITION,Unit Composition,"1 Suboden Khan model
Equipped: 1 Heavy Bolt Pistol; 1 Onslaught Gatling Cannon; 1 Power Sword; 1 Stormtooth",,"1 Suboden Khan model.

This model is equipped with: 1 Heavy Bolt Pistol; 1 Onslaught Gatling Cannon; 1 Power Sword; 1 Stormtooth.",,3,0
CAPTAIN_STRATEGIC_ACUMEN,Strategic Acumen,COMMAND: Select 1 COMBAT DOCTRINE until next COMMAND,Choose 1 combat doctrine,"In your Command phase, you can use this ability. If you do, select one combat doctrine to be active for this unit until the start of your next Command phase.",,2,1
CAPTAIN_RELIC_SHIELD,Relic Shield,+1 W [+1 W],,This model has +1 W.,[STATS] [+1 W],2,1
CAPTAIN_UNIT_COMPOSITION,Unit Composition,"1 Captain model
Equipped: 1 Heavy Bolt Pistol; 1 Master-crafted Bolter; 1 Master-crafted Power Weapon",,"1 Captain model.

This model is equipped with: 1 Heavy Bolt Pistol; 1 Master-crafted Bolter; 1 Master-crafted Power Weapon.",,3,0
CAPTAIN_ON_BIKE_INTO_THE_FRAY,Into the Fray,Charge: melee attacks gain [CLEAVE 1].,Charge: melee Cleave 1,"If this unit made a Charge move this turn, its melee attacks have [CLEAVE 1].",[MELEE] [WEAPONS] [ACTIVE] [CLEAVE 1],2,1
LEADER_CAPTAIN_ON_BIKE,Leader,Leader,,This unit has the Leader core ability.,,3,0
CAPTAIN_ON_BIKE_UNIT_COMPOSITION,Unit Composition,"1 Captain on Bike model
Equipped: 1 Heavy Bolt Pistol; 1 Master-crafted Power Weapon; 1 Twin Bolt Rifle",,"1 Captain on Bike model.

This model is equipped with: 1 Heavy Bolt Pistol; 1 Master-crafted Power Weapon; 1 Twin Bolt Rifle.",,3,0
DEMI_COMPANY_COMMANDER,Demi-company Commander,CAPTAIN uses Strategic Acumen — selected combat doctrine active for this unit until next COMMAND.,Captain doctrine → unit,"Once per turn, per unit — When a friendly CAPTAIN unit uses its Strategic Acumen ability, you can use this ability. If you do, the selected combat doctrine is active for this unit until the start of your next Command phase.",,2,
SPIRITUAL_LEADER,Spiritual Leader,"Once per battle round — any phase start, friendly battle-shocked ADEPTUS ASTARTES within 6"" is no longer battle-shocked.",Ally nearby: clear B-shock,"Once per battle round, per unit — At the start of any phase, you can select one friendly battle-shocked ADEPTUS ASTARTES unit within 6"" of this model. That unit is no longer battle-shocked.",,2,
ZEALOUS_FORTITUDE,Zealous Fortitude,FNP 4+ against mortal wounds.,FNP 4+ vs mortal wounds,This unit has Feel No Pain 4+ against mortal wounds.,"SHOOT, MELEE",2,
LIBRARIAN_PSYKER_LEVEL_1,Librarian,Psyker level 1 — use this unit’s Psychic Abilities.,,This model has the psychic abilities listed in the Psychic Abilities section.,,2,
FORCE_DOME_PSYCHIC,Force Dome,MOVEMENT psychic roll — on 1 battle-shocked; otherwise 4+ InvS until start of next turn.,Psychic: Invul 4+,"Psychic level 1 — In your Movement phase, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. On a 1, this unit is battle-shocked. Otherwise, this unit has 4+ InvS until the start of your next turn.","SHOOT, MELEE, [STATS] [ACTIVE] [INVULNERABLE SAVE 4+]",2,
SOUL_SIGHT_PSYCHIC,Soul Sight,SHOOTING psychic roll — on 1 battle-shocked; otherwise select visible enemy; RANGE attacks vs it ignore cover.,Psychic pass - Ignore Cover,"Psychic level 1 — In your Shooting phase, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. On a 1, this unit is battle-shocked. Otherwise, select one visible enemy unit. Ranged attacks that target that enemy unit have Ignores Cover.",[SHOOT] [WEAPONS] [ACTIVE] [IGNORES COVER],2,
MIGHT_OF_HEROES_PSYCHIC,Might of Heroes,FIGHT psychic roll — on 1 battle-shocked; otherwise MELEE +2 S this phase.,Psychic pass - melee S +2,"Psychic level 1 — In the Fight phase, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. On a 1, this unit is battle-shocked. Otherwise, this unit’s melee attacks have +2 Strength until the end of the phase.",[MELEE] [WEAPONS] [ACTIVE] [+2 S],2,
THUNDEROUS_FORCE_PSYCHIC,Thunderous Force,SHOOTING psychic roll — on 1 battle-shocked; otherwise RANGE [+6 R”] this phase.,Psychic: ranged Range +6”,"Psychic level 1 — In your Shooting phase, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. On a 1, this unit is battle-shocked. Otherwise, this unit’s ranged attacks have +6"" Range until the end of the phase.",[SHOOT] [WEAPONS] [ACTIVE] [+6 R”],2,
RAISE_THE_BANNER,Raise the Banner,MOVEMENT end → objective is secured.,Secure controlled objective,"At the end of your Movement phase, if this unit is controlling an objective, that objective is secured.",,2,
HONOUR_OF_THE_COMPANY,Honour of the Company,UNIT +1 OC.,+1 OC,This unit has +1 OC.,[STATS] [+1 OC],2,
DEEDS_OF_LEGEND,Deeds of Legend,Within range of objective — MELEE +1 A.,On objective - melee A +1,"While this unit is within range of an objective, this unit’s melee attacks have +1 A.",[MELEE] [WEAPONS] [ACTIVE] [+1 A],2,
NEVER_SHALL_THE_STANDARD_FALL,Never Shall the Standard Fall!,Within range of objective — attacks with S greater than UNIT T have -1 To Wound.,On Obj - higher S Wound -1,"While this unit is within range of an objective, attacks that target this unit with a Strength greater than this unit’s Toughness have -1 to wound rolls.","UNIT, ACTIVE, -1 TO WOUND",2,1
TECHMARINE_AURA,Techmarine,"Within 3"" friendly ADEPTUS ASTARTES VEHICLE → LONE OPERATIVE.",Near Vehicle - Lone Op,"While this model is within 3"" of a friendly ADEPTUS ASTARTES VEHICLE unit, this unit has Lone Operative.","SHOOT, [ACTIVE] [LONE OP]",2,
BLESSINGS_OF_THE_OMNISSIAH,Blessings of the Omnissiah,"MOVEMENT start/end — VEHICLE within 3"" Heal D3; ignore Hit/Wound modifiers until next MOVEMENT.",Heal D3; attacks ignore mods,"In your Movement phase, at the start or end of this model’s move, you can select one friendly ADEPTUS ASTARTES VEHICLE model within 3"" of this model. That VEHICLE model heals D3 wounds. That VEHICLE model’s attacks can ignore modifiers to hit rolls and wound rolls until the start of your next Movement phase.","SHOOT, MELEE",2,
TARGETED_INTERCESSION,Targeted Intercession,CHARGE this turn — MELEE [+1 S] [+1 AP],Charge - melee S/AP +1,"If this unit made a charge move this turn, this unit’s melee attacks have +1 S and AP.",[MELEE] [WEAPONS] [ACTIVE] [+1 S] [+1 AP],2,
RITES_OF_THERMAL_APPEASEMENT,Rites of Thermal Appeasement,Plasma Incinerator and Plasma Pistol — +1 to hazard rolls.,Plasma Hazard rolls +1,This unit has +1 to hazard rolls made for its Plasma Incinerator and Plasma Pistol weapons.,[SHOOT] [WEAPONS],2,
COMBAT_SHIELD_VANGUARD,Combat Shield,Bearer has 5+ InvS. [INVULNERABLE SAVE 5+],,This model has 5+ InvS.,,2,
GRAV_CHUTES,Grav-chutes,UNIT has Deep Strike. [DEEP STRIKE],,This unit has Deep Strike.,[DEEP STRIKE],2,
PARABOLIC_JETLEAP,Parabolic Jetleap,"Opponent FIGHT end — if unengaged, place UNIT in Strategic Reserves.",Unengaged → Reserves,"At the end of your opponent’s Fight phase, if this unit is unengaged, you can place this unit in Strategic Reserves.",,2,
TRANSPORT_RHINO,Transport - Rhino,"12 ADEPTUS ASTARTES INFANTRY; cannot transport GRAVIS, JUMP PACK or TERMINATOR.",,"This model has a transport capacity of 12 ADEPTUS ASTARTES INFANTRY models. It cannot transport GRAVIS, JUMP PACK or TERMINATOR models.",,3,
ORBITAL_COMMS_ARRAY,Orbital Comms Array,"UNIT has Scouts 6"".",,"This unit has Scouts 6"".",,2,
SENTINEL_PROTOCOLS,Sentinel Protocols,Once per phase — Fire Overwatch can target UNIT again; unmodified Hit rolls of 4+ hit until resolved.,Overwatch again; hits on 4+,"Once per phase, per unit — You can target this unit with the Fire Overwatch stratagem, regardless of any other uses of that stratagem this phase. If you do, this unit’s snap shooting attacks hit on unmodified hit rolls of 4+ until that stratagem is resolved. That use does not prevent any uses of that stratagem on other units this phase.",[SHOOT] [WEAPONS] [ACTIVE],2,
LAND_RAIDER_POWER_OF_MACHINE_SPIRIT,Power of the Machine Spirit,RANGE — re-roll one Hit roll and one Wound roll.,Ranged re-roll 1 Hit/Wound,This unit’s ranged attacks can re-roll one hit roll and re-roll one wound roll.,[SHOOT] [WEAPONS],2,
LAND_RAIDER_CRUSADER_FURY_MACHINE_SPIRIT,Fury of the Machine Spirit,"RANGE vs unit within 12"" — [LETHAL HITS].",12”: ranged Lethal Hits,"This unit’s ranged attacks that target a unit within 12"" of this unit have [LETHAL HITS].",[SHOOT] [WEAPONS] [ACTIVE] [LETHAL HITS],2,
LAND_RAIDER_REDEEMER_WRATH_MACHINE_SPIRIT,Wrath of the Machine Spirit,"RANGE vs unit within 12"" — [DEVASTATING WOUNDS — non-MONSTER/VEHICLE].",12”: Dev Wounds,"This unit’s ranged attacks that target a unit within 12"" of this unit have [DEVASTATING WOUNDS — non-MONSTER/VEHICLE].",[SHOOT] [WEAPONS] [ACTIVE],2,
TRANSPORT_LAND_RAIDER,Transport - Land Raider,Transport 14 ADEPTUS ASTARTES INFANTRY; no JUMP PACK; GRAVIS/TERMINATOR count as 2.,,This model has a transport capacity of 14 ADEPTUS ASTARTES INFANTRY models. It cannot transport JUMP PACK models. Each GRAVIS or TERMINATOR model takes up the space of 2 models.,,3,
TRANSPORT_LAND_RAIDER_CRUSADER,Transport - Land Raider Crusader,Transport 16 ADEPTUS ASTARTES INFANTRY; no JUMP PACK; GRAVIS/TERMINATOR count as 2.,,This model has a transport capacity of 16 ADEPTUS ASTARTES INFANTRY models. It cannot transport JUMP PACK models. Each GRAVIS or TERMINATOR model takes up the space of 2 models.,,3,
FORWARD_ASSAULT_WARSUIT,Forward Assault Warsuit,"BATTLE start — mark enemy; attacks vs mark [RE-ROLL 1S TO WOUND]; when mark destroyed, select new enemy.",Mark: reroll Wound 1s,"At the start of the first battle round, you can select one enemy unit to be this unit’s mark. This unit’s attacks that target this unit’s mark can re-roll wound rolls of 1. Each time this unit’s mark is destroyed, select one enemy unit to be this unit’s mark.",[SHOOT] [MELEE] [WEAPONS] [ACTIVE] [RE-ROLL 1S TO WOUND],2,
SHATTERED_DEFENCES,Shattered Defences,"SHOOTING — after UNIT shoots, select MONSTER/VEHICLE hit; friendly ADEPTUS ASTARTES RANGE attacks vs it have +1 AP.",Hit M/V: allies ranged AP+1,"In your Shooting phase, when this unit has shot, select one enemy MONSTER or VEHICLE unit hit by those attacks. Friendly ADEPTUS ASTARTES units’ ranged attacks that target that enemy unit have +1 AP.",[SHOOT] [ACTIVE],2,
REAPING_TALLY,Reaping Tally,Ranged vs non-MONSTER/VEHICLE — +1 AP.,Vs non-M/V - ranged AP +1,"Each time this unit makes a ranged attack that targets a unit (excluding MONSTER/VEHICLE units), improve the Armour Penetration characteristic of that attack by 1.",SHOOT,2,0
PRIORITY_TARGET_ACQUISITION,Priority Target Acquisition,"Ranged target within 12"" — +1 Strength.",12”: ranged S +1,"Each time this unit makes a ranged attack that targets a unit within 12"" of this unit, add 1 to the Strength characteristic of that attack.",SHOOT,2,0
TACTICAL_FLUIDITY_CAPTAIN_PHOBOS,"Tactical Fluidity (Once per battle round, per unit)","SHOOTING — after shooting while unengaged, Normal Move D6"".
FIGHT (enemy) — if engaged, Fall Back 6"".",Shoot: D6” move; Fight: FB,"In your Shooting phase, when this unit has shot, if this unit is unengaged, this unit can make a Normal move of up to D6"".
Or — At the end of your opponent’s Fight phase, if this unit is engaged, this unit can make a Fall Back move of up to 6"".",[SHOOT] [MELEE],2,1
UNSTOPPABLE_VALOUR,Unstoppable Valour,Re-roll Charge rolls for this unit [RE-ROLL CHARGE],Re-roll Charge,You can re-roll Charge rolls for this unit.,[RE-ROLL CHARGE],2,1
